Z,charge_yield_percent
23,0.000525
24,0.040610
25,0.899958
26,0.379426
27,0.209131
28,1.842364
29,5.168250
30,2.376569
31,1.577322
32,2.167239
33,3.926061
34,2.056449
35,1.593051
36,2.512873
37,7.927316
38,4.923292
39,4.115317
40,8.360886
41,14.821854
42,11.241988
43,12.902414
44,5.177213
45,3.995876
46,3.568034
47,3.995876
48,5.177213
49,12.902414
50,11.241988
51,14.821854
52,8.360886
53,4.115317
54,4.923292
55,7.927316
56,2.512873
57,1.593051
58,2.056449
59,3.926061
60,2.167239
61,1.577322
62,2.376569
63,5.168250
64,1.842364
65,0.209131
66,0.379426
67,0.899958
68,0.040610
69,0.000525
