A,mass_yield_percent
70,0.036594
71,0.038307
72,0.039347
73,0.040557
74,0.043372
75,0.048741
76,0.056897
77,0.067931
78,0.087164
79,0.118841
80,0.171218
81,0.253112
82,0.371805
83,0.521332
84,0.68483
85,0.841217
86,1.001268
87,1.167056
88,1.346374
89,1.54121
90,1.858706
91,2.187987
92,2.598356
93,3.087743
94,3.631787
95,4.163363
96,4.693041
97,5.344654
98,6.032774
99,6.817913
100,7.601566
101,8.128684
102,8.3594
103,8.119409
104,7.125406
105,4.525484
106,2.682656
107,1.634636
108,1.00387
109,0.638196
110,0.412578
111,0.272534
112,0.18339
113,0.126732
114,0.091106
115,0.069764
116,0.056556
117,0.05052
118,0.04803
119,0.05052
120,0.056556
121,0.069764
122,0.091106
123,0.126732
124,0.18339
125,0.272534
126,0.412578
127,0.638196
128,1.00387
129,1.634636
130,2.682656
131,4.525484
132,7.125406
133,8.119409
134,8.3594
135,8.128684
136,7.601566
137,6.817913
138,6.032774
139,5.344654
140,4.693041
141,4.163363
142,3.631787
143,3.087743
144,2.598356
145,2.187987
146,1.858706
147,1.54121
148,1.346374
149,1.167056
150,1.001268
151,0.841217
152,0.68483
153,0.521332
154,0.371805
155,0.253112
156,0.171218
157,0.118841
158,0.087164
159,0.067931
160,0.056897
161,0.048741
162,0.043372
163,0.040557
164,0.039347
165,0.038307
166,0.036594
