A,mass_yield_percent
70,0.059416
71,0.049406
72,0.040856
73,0.034752
74,0.032558
75,0.031576
76,0.032755
77,0.035614
78,0.039382
79,0.044091
80,0.051856
81,0.062047
82,0.073103
83,0.077886
84,0.08544
85,0.101191
86,0.121717
87,0.140593
88,0.163142
89,0.183126
90,0.208935
91,0.253062
92,0.331888
93,0.452977
94,0.630598
95,0.839277
96,1.103758
97,1.481783
98,2.450145
99,4.059092
100,6.60827
101,10.397818
102,14.813979
103,17.050347
104,16.078844
105,9.556822
106,5.080709
107,2.765367
108,1.513131
109,0.932603
110,0.612644
111,0.402941
112,0.269647
113,0.183526
114,0.130231
115,0.101684
116,0.092178
117,0.091272
118,0.091939
119,0.091272
120,0.092178
121,0.101684
122,0.130231
123,0.183526
124,0.269647
125,0.402941
126,0.612644
127,0.932603
128,1.513131
129,2.765367
130,5.080709
131,9.556822
132,16.078844
133,17.050347
134,14.813979
135,10.397818
136,6.60827
137,4.059092
138,2.450145
139,1.481783
140,1.103758
141,0.839277
142,0.630598
143,0.452977
144,0.331888
145,0.253062
146,0.208935
147,0.183126
148,0.163142
149,0.140593
150,0.121717
151,0.101191
152,0.08544
153,0.077886
154,0.073103
155,0.062047
156,0.051856
157,0.044091
158,0.039382
159,0.035614
160,0.032755
161,0.031576
162,0.032558
163,0.034752
164,0.040856
165,0.049406
166,0.059416
