A,mass_yield_percent
70,0.00193
71,0.001318
72,0.0009
73,0.000656
74,0.000579
75,0.000553
76,0.00058
77,0.000663
78,0.000772
79,0.000935
80,0.001223
81,0.001693
82,0.002337
83,0.002412
84,0.002696
85,0.003579
86,0.004825
87,0.006103
88,0.007834
89,0.009389
90,0.011279
91,0.015309
92,0.024358
93,0.043024
94,0.077241
95,0.124038
96,0.193102
97,0.307407
98,0.726905
99,1.751578
100,4.06895
101,9.083321
102,17.968051
103,24.251794
104,24.89966
105,10.662642
106,3.672443
107,1.29246
108,0.437606
109,0.17578
110,0.080459
111,0.037642
112,0.018635
113,0.009661
114,0.005298
115,0.003337
116,0.00283
117,0.002796
118,0.002831
119,0.002796
120,0.00283
121,0.003337
122,0.005298
123,0.009661
124,0.018635
125,0.037642
126,0.080459
127,0.17578
128,0.437606
129,1.29246
130,3.672443
131,10.662642
132,24.89966
133,24.251794
134,17.968051
135,9.083321
136,4.06895
137,1.751578
138,0.726905
139,0.307407
140,0.193102
141,0.124038
142,0.077241
143,0.043024
144,0.024358
145,0.015309
146,0.011279
147,0.009389
148,0.007834
149,0.006103
150,0.004825
151,0.003579
152,0.002696
153,0.002412
154,0.002337
155,0.001693
156,0.001223
157,0.000935
158,0.000772
159,0.000663
160,0.00058
161,0.000553
162,0.000579
163,0.000656
164,0.0009
165,0.001318
166,0.00193
