A,mass_yield_percent
70,0.017139
71,0.01328
72,0.010242
73,0.008232
74,0.007532
75,0.007244
76,0.007536
77,0.008354
78,0.009431
79,0.010867
80,0.013302
81,0.016785
82,0.020869
83,0.022088
84,0.024437
85,0.030207
86,0.037927
87,0.045292
88,0.054613
89,0.062876
90,0.073215
91,0.092616
92,0.130419
93,0.195538
94,0.298774
95,0.427193
96,0.599654
97,0.858748
98,1.62372
99,3.091297
100,5.749363
101,10.339458
102,16.665711
103,20.343968
104,19.720067
105,10.297459
106,4.640683
107,2.145329
108,0.982473
109,0.5194
110,0.299819
111,0.17403
112,0.103901
113,0.063632
114,0.040867
115,0.029501
116,0.02608
117,0.025806
118,0.02605
119,0.025806
120,0.02608
121,0.029501
122,0.040867
123,0.063632
124,0.103901
125,0.17403
126,0.299819
127,0.5194
128,0.982473
129,2.145329
130,4.640683
131,10.297459
132,19.720067
133,20.343968
134,16.665711
135,10.339458
136,5.749363
137,3.091297
138,1.62372
139,0.858748
140,0.599654
141,0.427193
142,0.298774
143,0.195538
144,0.130419
145,0.092616
146,0.073215
147,0.062876
148,0.054613
149,0.045292
150,0.037927
151,0.030207
152,0.024437
153,0.022088
154,0.020869
155,0.016785
156,0.013302
157,0.010867
158,0.009431
159,0.008354
160,0.007536
161,0.007244
162,0.007532
163,0.008232
164,0.010242
165,0.01328
166,0.017139
