A,mass_yield_percent
70,0.000319
71,0.000196
72,0.000121
73,8.2e-05
74,7e-05
75,6.7e-05
76,7.1e-05
77,8.3e-05
78,9.9e-05
79,0.000124
80,0.000171
81,0.000256
82,0.000388
83,0.000389
84,0.000437
85,0.000614
86,0.000877
87,0.001163
88,0.001568
89,0.001938
90,0.002385
91,0.003421
92,0.00601
93,0.012159
94,0.024944
95,0.043827
96,0.07389
97,0.127781
98,0.361491
99,1.055518
100,2.938911
101,7.76258
102,18.009266
103,26.440234
104,28.497693
105,10.527847
106,2.935527
107,0.830717
108,0.220574
109,0.070315
110,0.026409
111,0.010347
112,0.004429
113,0.002026
114,0.000986
115,0.000553
116,0.000454
117,0.000447
118,0.000454
119,0.000447
120,0.000454
121,0.000553
122,0.000986
123,0.002026
124,0.004429
125,0.010347
126,0.026409
127,0.070315
128,0.220574
129,0.830717
130,2.935527
131,10.527847
132,28.497693
133,26.440234
134,18.009266
135,7.76258
136,2.938911
137,1.055518
138,0.361491
139,0.127781
140,0.07389
141,0.043827
142,0.024944
143,0.012159
144,0.00601
145,0.003421
146,0.002385
147,0.001938
148,0.001568
149,0.001163
150,0.000877
151,0.000614
152,0.000437
153,0.000389
154,0.000388
155,0.000256
156,0.000171
157,0.000124
158,9.9e-05
159,8.3e-05
160,7.1e-05
161,6.7e-05
162,7e-05
163,8.2e-05
164,0.000121
165,0.000196
166,0.000319
