A,mass_yield_percent
70,0.0345
71,0.027817
72,0.022311
73,0.01851
74,0.017158
75,0.016573
76,0.017211
77,0.018874
78,0.021068
79,0.023888
80,0.028598
81,0.035025
82,0.042228
83,0.044897
84,0.049453
85,0.059693
86,0.073188
87,0.085788
88,0.101266
89,0.114973
90,0.132406
91,0.163523
92,0.221279
93,0.314744
94,0.45648
95,0.627326
96,0.849581
97,1.173847
98,2.060224
99,3.630102
100,6.2709
101,10.474233
102,15.761927
103,18.620062
104,17.756594
105,9.95309
106,4.914574
107,2.487839
108,1.258328
109,0.725335
110,0.450324
111,0.280322
112,0.178301
113,0.115736
114,0.078533
115,0.059231
116,0.053093
117,0.052554
118,0.052989
119,0.052554
120,0.053093
121,0.059231
122,0.078533
123,0.115736
124,0.178301
125,0.280322
126,0.450324
127,0.725335
128,1.258328
129,2.487839
130,4.914574
131,9.95309
132,17.756594
133,18.620062
134,15.761927
135,10.474233
136,6.2709
137,3.630102
138,2.060224
139,1.173847
140,0.849581
141,0.627326
142,0.45648
143,0.314744
144,0.221279
145,0.163523
146,0.132406
147,0.114973
148,0.101266
149,0.085788
150,0.073188
151,0.059693
152,0.049453
153,0.044897
154,0.042228
155,0.035025
156,0.028598
157,0.023888
158,0.021068
159,0.018874
160,0.017211
161,0.016573
162,0.017158
163,0.01851
164,0.022311
165,0.027817
166,0.0345
