A,mass_yield_percent
70,0.006806
71,0.005003
72,0.003664
73,0.002825
74,0.002544
75,0.002436
76,0.002542
77,0.002856
78,0.00327
79,0.003848
80,0.004846
81,0.00636
82,0.008252
83,0.008658
84,0.009625
85,0.012267
86,0.015878
87,0.019431
88,0.024072
89,0.028203
90,0.03329
91,0.043413
92,0.064393
93,0.103469
94,0.169272
95,0.254506
96,0.373694
97,0.560173
98,1.165635
99,2.453379
100,5.017413
101,9.908651
102,17.444741
103,22.22139
104,22.054466
105,10.552718
106,4.234586
107,1.741699
108,0.701149
109,0.330325
110,0.173035
111,0.09166
112,0.050472
113,0.028738
114,0.017226
115,0.011741
116,0.010198
117,0.010085
118,0.010194
119,0.010085
120,0.010198
121,0.011741
122,0.017226
123,0.028738
124,0.050472
125,0.09166
126,0.173035
127,0.330325
128,0.701149
129,1.741699
130,4.234586
131,10.552718
132,22.054466
133,22.22139
134,17.444741
135,9.908651
136,5.017413
137,2.453379
138,1.165635
139,0.560173
140,0.373694
141,0.254506
142,0.169272
143,0.103469
144,0.064393
145,0.043413
146,0.03329
147,0.028203
148,0.024072
149,0.019431
150,0.015878
151,0.012267
152,0.009625
153,0.008658
154,0.008252
155,0.00636
156,0.004846
157,0.003848
158,0.00327
159,0.002856
160,0.002542
161,0.002436
162,0.002544
163,0.002825
164,0.003664
165,0.005003
166,0.006806
