A,mass_yield_percent
70,0.001526
71,0.001547
72,0.001545
73,0.001575
74,0.00171
75,0.002042
76,0.00262
77,0.00349
78,0.005339
79,0.009033
80,0.016775
81,0.033294
82,0.066267
83,0.118563
84,0.180884
85,0.241694
86,0.307178
87,0.385895
88,0.485706
89,0.603701
90,0.840329
91,1.111435
92,1.489693
93,2.017253
94,2.645403
95,3.30618
96,4.031095
97,4.900871
98,5.87614
99,7.095897
100,8.64858
101,10.262979
102,11.752894
103,12.593102
104,11.826409
105,5.322629
106,2.154576
107,0.920246
108,0.394545
109,0.179318
110,0.081317
111,0.038224
112,0.018509
113,0.009314
114,0.00503
115,0.003065
116,0.002097
117,0.001708
118,0.001556
119,0.001708
120,0.002097
121,0.003065
122,0.00503
123,0.009314
124,0.018509
125,0.038224
126,0.081317
127,0.179318
128,0.394545
129,0.920246
130,2.154576
131,5.322629
132,11.826409
133,12.593102
134,11.752894
135,10.262979
136,8.64858
137,7.095897
138,5.87614
139,4.900871
140,4.031095
141,3.30618
142,2.645403
143,2.017253
144,1.489693
145,1.111435
146,0.840329
147,0.603701
148,0.485706
149,0.385895
150,0.307178
151,0.241694
152,0.180884
153,0.118563
154,0.066267
155,0.033294
156,0.016775
157,0.009033
158,0.005339
159,0.00349
160,0.00262
161,0.002042
162,0.00171
163,0.001575
164,0.001545
165,0.001547
166,0.001526
